province,id,time,year,month,CarbonDioxide,Industrial,GDP,Electricity,Dnvalue,I-population,O-population,H-temperature,L-temperature
Beijing,1,202302,2023,2,11.68638,6355.4,3277.68,0.974054,10.04,363.47,273.65,6.35,-4.45
Beijing,1,202303,2023,3,10.20661,8155.8,3275.32,0.97,10.42,340.96,331.47,16.17,2.17
Beijing,1,202304,2023,4,8.36417,10050.6,3502.02,0.969309,9.83,385.94,426.16,19.34,8.04
Beijing,1,202305,2023,5,7.70298,12428.7,3578.55,0.968886,9.55,428.31,374.36,26.42,15.08
Beijing,1,202306,2023,6,8.09816,14708.3,3639.38,0.970082,9.27,377.17,376.46,34.06,20.04
Beijing,1,202307,2023,7,8.32571,17072.3,3632.89,0.970778,8.99,438.1,447.99,32.87,22.71
Beijing,1,202308,2023,8,8.17273,19525,3698.88,0.972661,8.71,453.89,438,30.78,21.8
Beijing,1,202309,2023,9,7.48852,21654.3,3785.76,0.973374,8.88,338.02,386.11,27.06,16.83
Beijing,1,202310,2023,10,7.91365,23985.9,4054.28,0.973573,10.1,398.47,328.89,22.07,8.9
Beijing,1,202311,2023,11,10.84539,26839.1,4059.73,0.974545,10.57,277.48,270.89,9.26,-1.34
Beijing,1,202312,2023,12,13.52067,26584.81,3962.96,0.975599,19.18,247.61,260.7,1.56,-8.06
Beijing,1,202401,2024,1,13.6472,3952.6,3597.98,0.9778,11.72,83.6,97.84,2.44,-7.45
Beijing,1,202402,2024,2,11.93314,6343.4,3493.57,0.977825,12.34,355.94,314.85,5.51,-4.79
Beijing,1,202403,2024,3,10.56127,8310.5,3489.45,0.974026,10.86,309.61,282.45,14.52,1.87
Beijing,1,202404,2024,4,7.97196,10368.8,3700.1,0.972921,9.58,350.93,343.09,21.81,10.41
Beijing,1,202405,2024,5,7.51836,12888.8,3779.71,0.972004,3.2,392.67,374.87,27.27,15.06
Beijing,1,202406,2024,6,7.8313,15122.6,3843.8,0.972287,3.18,358.39,353.91,32.7,20.4
Beijing,1,202407,2024,7,8.44871,17510.7,3881.96,0.974609,9.56,415.38,410.98,31.68,23.3
Beijing,1,202408,2024,8,8.06991,20043.2,3914.92,0.975477,15.94,436.87,429.18,30.97,22.54
Beijing,1,202409,2024,9,7.43012,22254.3,3932.4,0.974552,12.32,322.55,319.89,25.14,16.55
Beijing,1,202410,2024,10,8.19185,24746.4,3949.88,0.972815,18.7,397.9,368.1,18.78,7.84
Beijing,1,202411,2024,11,10.21419,27925.2,3967.35,0.972259,15.08,304.75,294.69,12.64,2.36
Beijing,1,202412,2024,12,13.18383,31104,3984.83,0.971785,11.46,291.46,276.62,5.27,-5.23
Tianjin,2,201901,2019,1,17.05659,2471.5,1796.53,0.996161,5.22,125.61,97.03,4.45,-5.64
Tianjin,2,201902,2019,2,13.82476,3917.2,1743.35,0.992431,5.87,125.28,97.4,4.73,-4.4
Tianjin,2,201903,2019,3,15.62352,5377.7,1749.69,0.988701,6.52,109.02,88.16,15.68,3.34
Tianjin,2,201904,2019,4,14.70342,6852.4,1806.08,0.985346,6.52,92.76,78.94,19.93,8.52
Tianjin,2,201905,2019,5,14.87494,8423.1,1855.67,0.980617,6.87,76.52,69.72,29.27,16.58
Tianjin,2,201906,2019,6,14.69095,9938,1892.65,0.98135,6.75,60.32,60.53,30.46,20.99
Tianjin,2,201907,2019,7,15.78866,11490.3,1788.86,0.982482,5.66,44.15,51.35,32.46,23.69
Tianjin,2,201908,2019,8,14.43461,13118.5,1825.17,0.983029,6.09,28.03,42.21,30.27,22.31
Tianjin,2,201909,2019,9,14.2877,14651.8,1874.6,0.983487,6.23,11.97,33.1,28.61,18.62
Tianjin,2,201910,2019,10,14.71832,16281.6,1341.01,0.983193,6.88,4.03,24.03,19.63,9.51
Tianjin,2,201911,2019,11,15.25963,18090,1330.44,0.983534,6.63,19.94,15.01,11.01,2.23
Tianjin,2,201912,2019,12,18.24912,17916.78,1268.57,0.984292,6.49,35.77,6.04,4.06,-3.67
Tianjin,2,202001,2020,1,15.05544,2500.6,984.12,0.983983,7.16,92.83,134,4.13,-4.49
Tianjin,2,202002,2020,2,13.91273,4172.1,932.57,0.98398,5.75,124.46,153.57,6.9,-2.75
Tianjin,2,202003,2020,3,13.62606,5646.1,940.12,0.978977,6.98,154.6,171.88,15.21,3.44
Tianjin,2,202004,2020,4,15.03312,7231.9,1096.16,0.974978,6.89,180.82,187.11,20.8,8.95
Tianjin,2,202005,2020,5,14.2405,8831.1,1148.47,0.97387,5.88,200.67,197.44,25.82,15.13
Tianjin,2,202006,2020,6,14.1115,10373.1,1186.91,0.974768,3.63,211.7,201.03,31.06,21.48
Tianjin,2,202007,2020,7,14.7578,11937.5,1195.42,0.976687,1.37,211.46,196.05,30.78,23.02
Tianjin,2,202008,2020,8,15.96791,13608.2,1228.15,0.978206,5.79,197.51,180.67,29.96,22.79
Tianjin,2,202009,2020,9,17.01069,15199.2,1268.78,0.978771,6.11,167.41,153.06,26.23,17.24
Tianjin,2,202010,2020,10,17.67549,16950.6,1370.99,0.978851,7.27,118.7,111.39,19.29,8.97
Tianjin,2,202011,2020,11,18.8227,18906,1379.26,0.979272,6.98,66.49,69.11,11.25,2.77
Tianjin,2,202012,2020,12,21.80821,18719.31,1347.65,0.979942,7.87,65.23,73.45,2.51,-5.57
Tianjin,2,202101,2021,1,19.9581,2103.6,1150.61,0.972674,7.49,48.43,57.19,2.17,-7
Tianjin,2,202102,2021,2,18.82889,3377.2,1120.68,0.972593,7.67,54.91,47.85,9.2,-1.82
Tianjin,2,202103,2021,3,14.92303,4864.3,1131.24,0.970426,7.13,101.58,86.23,13.79,4.59
Tianjin,2,202104,2021,4,17.37324,6434.1,1260.71,0.967806,7.63,109.7,110.86,19.04,9.92
Tianjin,2,202105,2021,5,15.76501,8159.9,1299.24,0.963946,4.67,133.2,129.86,25.92,15.17
Tianjin,2,202106,2021,6,15.95877,9837.1,1324.94,0.964413,5.25,117.61,117.91,29.76,20.34
Tianjin,2,202107,2021,7,15.47869,11521.4,1315.87,0.96678,5.83,123.99,126.89,30.52,23.25
Tianjin,2,202108,2021,8,16.60477,13402.5,1342.32,0.968853,6.41,86.82,80.06,29.54,21.88
Tianjin,2,202109,2021,9,16.51535,15083.2,1382.22,0.969907,6.28,107.1,104.22,25.78,18.5
Tianjin,2,202110,2021,10,15.58489,16908.5,1499.15,0.970257,5.99,131.07,122.58,18.01,8.23
Tianjin,2,202111,2021,11,16.43674,18978.4,1506.09,0.970173,7.66,89.06,86.35,10.86,1.66
Tianjin,2,202112,2021,12,17.10427,3076.2,1467.21,0.970072,8.12,96.03,100.07,6.17,-3.63
Tianjin,2,202201,2022,1,18.63386,4959.6,1210.85,0.968227,8.34,44.52,71.15,3.2,-5.74
Tianjin,2,202202,2022,2,15.17275,6824.2,1167.68,0.968206,8.6,75.15,54.96,4.47,-4.97
Tianjin,2,202203,2022,3,16.33544,8734.9,1162.17,0.964267,7.66,49.85,44.7,13.62,2.62
Tianjin,2,202204,2022,4,14.91398,10724.6,1291.49,0.957403,7.42,49.96,50.26,22.2,10.69
Tianjin,2,202205,2022,5,14.77774,12679.2,1321.44,0.954284,6.83,55.94,55.68,27.27,15.21
Tianjin,2,202206,2022,6,15.53499,14604.5,1348.07,0.954609,7.2,70.54,75.14,30.57,20.46
Tianjin,2,202207,2022,7,15.85011,16598.8,1372.46,0.958138,0.24,113.13,116.06,31.73,23.38
Tianjin,2,202208,2022,8,16.16862,18491.6,1401.34,0.959384,5.89,131.68,122.64,30.04,22.31
Tianjin,2,202209,2022,9,16.11858,20561.6,1435.56,0.9597,6.96,66.42,67.88,28.61,17.8
Tianjin,2,202210,2022,10,15.77952,22842,1511.81,0.958483,6.84,65.16,63.33,18.84,9.36
Tianjin,2,202211,2022,11,17.0614,13104.6,1513.08,0.959486,6.69,43.99,48.34,11.86,3.24
Tianjin,2,202212,2022,12,19.81215,3367.2,1476.59,0.960124,7.83,62.14,71.9,2.37,-6.68
Tianjin,2,202301,2023,1,18.60955,5470.7,1260.36,0.958322,8.52,129.44,137.75,3.91,-6.45
Tianjin,2,202302,2023,2,16.24076,7326,1224.02,0.958302,7.15,147.61,115.69,6.87,-2.39
Tianjin,2,202303,2023,3,17.91321,9282.4,1223.14,0.954023,7.35,145.24,139.92,15.53,4.14
Tianjin,2,202304,2023,4,16.12727,11589.9,1331.96,0.948209,7.21,164.11,171.93,18.88,9.41
Tianjin,2,202305,2023,5,15.40351,13628.6,1361.07,0.944819,7.14,177.95,163.29,26.15,16.45
Tianjin,2,202306,2023,6,16.41099,15683.3,1384.21,0.946295,7.07,151.18,153.44,33.34,21.67
Tianjin,2,202307,2023,7,16.72218,17830.3,1403.2,0.947957,7,170.7,173.4,32.63,24.06
Tianjin,2,202308,2023,8,16.81267,19827.9,1428.69,0.95066,6.93,191.43,179.01,30.94,23.33
Tianjin,2,202309,2023,9,15.55804,21870.4,1462.25,0.952099,6.92,150.99,160.03,27.86,18.93
Tianjin,2,202310,2023,10,14.68206,24105.5,1550.62,0.948529,7.43,172.53,151.85,22.87,11.25
Tianjin,2,202311,2023,11,15.94919,13718.4,1552.7,0.944033,7.6,117.64,117.07,10.39,1.34
Tianjin,2,202312,2023,12,18.79935,3331.3,1515.69,0.944066,10.97,108.14,110.4,2.47,-5.95
Tianjin,2,202401,2024,1,20.43852,5454,1322.76,0.944296,7.63,33.33,40.83,3.21,-5.12
Tianjin,2,202402,2024,2,17.66772,7401.3,1284.38,0.944299,8.36,157.26,137.28,5.95,-2.79
Tianjin,2,202403,2024,3,18.25292,9337.5,1282.86,0.929959,7.73,139.64,129.75,14.94,4.14
Tianjin,2,202404,2024,4,15.51955,11426.7,1390.83,0.919589,6.95,156,155.88,21.85,11.56
Tianjin,2,202405,2024,5,14.79833,13400.4,1420.75,0.910914,6.79,178.69,173.52,27.25,16.72
Tianjin,2,202406,2024,6,15.47799,15436.5,1444.84,0.909647,6.63,156.03,155.71,32.85,22.09
Tianjin,2,202407,2024,7,15.79034,17621.1,1470.32,0.910998,6.47,170.86,174.78,32.51,23.94
Tianjin,2,202408,2024,8,15.92892,19589.4,1482.81,0.914645,6.31,194.55,182.52,31.45,23.87
Tianjin,2,202409,2024,9,15.53703,21742,1489.43,0.915004,6.15,142.48,142.44,26.32,18.11
Tianjin,2,202410,2024,10,15.29018,24199.2,1496.05,0.914546,5.99,177.95,172.77,20.03,10.13
Tianjin,2,202411,2024,11,16.10222,14790.25,1502.67,0.915097,5.83,133,131.97,13.99,4.64
Tianjin,2,202412,2024,12,19.48411,5381.3,1509.29,0.916687,5.67,129.7,129.45,6.03,-3.51
Hebei,3,201901,2019,1,83.85052,8442.4,2821.46,0.905466,1.87,505.33,559.13,3.46,-8
Hebei,3,201902,2019,2,65.44125,11735.4,2737.95,0.890147,1.92,505.6,558.52,4.48,-5.83
Hebei,3,201903,2019,3,80.66181,14958,2747.9,0.874828,1.97,463.7,508.73,15.59,1.82
Hebei,3,201904,2019,4,85.01722,18491.4,3082.35,0.870795,1.84,421.83,458.97,19.98,7.23
Hebei,3,201905,2019,5,87.27222,21845,3166.98,0.872411,2.15,380.01,409.26,28.13,14.08
Hebei,3,201906,2019,6,86.96545,25275.7,3230.11,0.878406,2.05,338.27,359.65,31.03,20.33
Hebei,3,201907,2019,7,80.99603,28993.6,3144.23,0.885532,1.71,296.64,310.16,32.28,22.62
Hebei,3,201908,2019,8,84.88743,32592.7,3208.05,0.889322,1.82,255.13,260.82,29.27,20.75
Hebei,3,201909,2019,9,78.9793,36016,3294.93,0.890889,1.93,213.77,211.66,27.8,16.35
Hebei,3,201910,2019,10,77.42392,39052,3337.68,0.888998,2.17,172.6,162.71,19.77,8.86
Hebei,3,201911,2019,11,85.7322,22320.3,3311.37,0.888343,2.12,131.63,114,11.03,1.22
Hebei,3,201912,2019,12,91.03855,5588.6,3157.39,0.883728,2.12,90.9,65.56,3.79,-5.52
Hebei,3,202001,2020,1,73.52229,9282.2,2537.09,0.872333,2.19,532.08,497.96,3.22,-6.66
Hebei,3,202002,2020,2,68.18673,12464.7,2404.18,0.872205,1.77,616.78,595.92,7.49,-3.84
Hebei,3,202003,2020,3,76.24172,15836,2423.66,0.850976,2.17,696.95,689.12,15.31,1.99
Hebei,3,202004,2020,4,81.3015,19497.4,2847.09,0.845028,2.12,765.48,769.83,20.42,6.58
Hebei,3,202005,2020,5,85.7995,22931.7,2982.96,0.841225,0.89,815.3,830.31,26.67,13.97
Hebei,3,202006,2020,6,89.851,26423.9,3082.8,0.848259,0.92,839.31,862.82,31,19.52
Hebei,3,202007,2020,7,85.89788,30146.7,3055.55,0.857435,0.95,830.42,859.62,29.49,21.48
Hebei,3,202008,2020,8,88.64095,33450.9,3139.22,0.865898,1.89,781.54,812.98,29.3,21.22
Hebei,3,202009,2020,9,85.48083,37140.5,3243.06,0.86687,2.06,685.57,715.15,25.95,15.15
Hebei,3,202010,2020,10,86.65609,41190.2,3524.59,0.863986,2.45,535.43,558.41,19.07,6.96
Hebei,3,202011,2020,11,89.97081,23029,3545.85,0.863608,2.24,374.98,388.98,10.81,0.79
Hebei,3,202012,2020,12,97.73846,4867.8,3464.58,0.860661,2.58,362.37,374.51,2.06,-7.73
Hebei,3,202101,2021,1,87.97482,8121.1,2957.79,0.825903,2.3,191.94,198.26,2.58,-8.83
Hebei,3,202102,2021,2,79.66491,11431,2880.85,0.825512,2.6,231.21,246.67,9.91,-2.8
Hebei,3,202103,2021,3,62.28548,14895.9,2907.99,0.828549,2.27,409.36,439.22,13.5,3.22
Hebei,3,202104,2021,4,81.00143,18679.3,3232.2,0.824868,2.41,514.89,526.55,19.08,8.14
Hebei,3,202105,2021,5,78.09905,22361.9,3330.97,0.817359,2.03,597.37,621.9,25.81,13.61
Hebei,3,202106,2021,6,78.04511,26265.3,3396.87,0.814141,2.08,564.85,579.88,30.61,19.28
Hebei,3,202107,2021,7,73.77977,30214,3349.25,0.819984,2.12,582.77,594.31,30.43,22.3
Hebei,3,202108,2021,8,73.10503,34133.1,3416.58,0.827588,2.17,379.96,401.28,28.94,20.01
Hebei,3,202109,2021,9,74.62518,38276.2,3518.13,0.828871,2.02,521.54,537.52,25.56,16.82
Hebei,3,202110,2021,10,71.97639,42973.2,3858.06,0.826731,1.95,560.85,594.87,17.6,6.7
Hebei,3,202111,2021,11,67.36912,7177.9,3875.94,0.821575,2.35,377.61,406.33,11.46,-0.03
Hebei,3,202112,2021,12,71.75616,11468.6,3775.87,0.816943,2.59,471.13,500.37,6.24,-5.29
Hebei,3,202201,2022,1,86.95479,15875.1,3271.27,0.817708,2.63,441.15,416.18,2.95,-6.95
Hebei,3,202202,2022,2,57.80791,20503.7,3154.63,0.817716,2.93,402.77,456.95,4.67,-6.71
Hebei,3,202203,2022,3,77.9262,25112.3,3139.76,0.794555,2.57,278.99,297.76,14.15,1.83
Hebei,3,202204,2022,4,78.87101,29535.3,3359.59,0.780929,2.51,203.08,217.25,21.84,8.83
Hebei,3,202205,2022,5,82.18912,34141.5,3437.49,0.773771,1.93,278.82,293.88,26.63,13.82
Hebei,3,202206,2022,6,83.86544,39009.1,3506.77,0.776756,2.59,406.14,414.73,31.75,20.25
Hebei,3,202207,2022,7,80.7042,43691.8,3529.34,0.787014,1.56,683.13,697.22,31.34,22.12
Hebei,3,202208,2022,8,82.62215,48353.7,3603.6,0.796119,1.96,623.04,656.03,28.74,20.39
Hebei,3,202209,2022,9,78.90739,53589.7,3691.6,0.796066,2.33,460.96,479.86,27.59,15
Hebei,3,202210,2022,10,71.52603,30653.1,3927.13,0.789326,2.29,401.07,420.54,18.15,6.72
Hebei,3,202211,2022,11,71.86418,7716.5,3930.41,0.786005,2.19,214.72,230.91,11.53,1.33
Hebei,3,202212,2022,12,83.23138,12025.2,3835.64,0.78235,2.62,318.16,319.68,2.41,-8.87
Hebei,3,202301,2023,1,84.21167,15967.3,3406.53,0.771356,3.12,621.33,652.91,3.72,-8.33
Hebei,3,202302,2023,2,68.62313,20466.8,3308.32,0.771233,2.51,577.95,632.34,6.59,-4.22
Hebei,3,202303,2023,3,83.51005,24807.6,3305.94,0.756172,2.61,639.13,671.58,16.25,3.33
Hebei,3,202304,2023,4,79.13274,28912.3,3528.86,0.742928,2.46,754.71,758.3,18.7,8.19
Hebei,3,202305,2023,5,78.39705,33121.2,3605.97,0.739512,0.58,747.77,816.39,25.35,14.69
Hebei,3,202306,2023,6,81.14679,37466.7,3667.27,0.74527,0.47,717.87,736.76,32.7,19.45
Hebei,3,202307,2023,7,82.5411,41642,3639.08,0.755168,0.36,810.41,835.12,32.81,22.55
Hebei,3,202308,2023,8,79.80698,45643.8,3705.18,0.765662,2.43,868.02,915.16,30.42,21.51
Hebei,3,202309,2023,9,75.66788,50551.6,3792.21,0.769694,2.42,741.23,736.38,27.14,17.04
Hebei,3,202310,2023,10,71.3549,29124.95,4071.24,0.767614,2.75,701.77,794.42,22.5,9.33
Hebei,3,202311,2023,11,74.53251,7698.3,4076.71,0.762195,2.72,565.36,589.23,10.43,-0.62
Hebei,3,202312,2023,12,73.98235,12181.2,3979.53,0.762961,4.17,511.89,520.39,2.46,-7.87
Hebei,3,202401,2024,1,85.67367,16622.2,3554.8,0.786527,2.79,172.62,173.64,2.91,-7.18
Hebei,3,202402,2024,2,73.45944,20818,3451.64,0.786792,3.36,654.37,705.93,5.46,-4.44
Hebei,3,202403,2024,3,83.84769,24993,3447.57,0.759206,2.77,620.15,652.34,14.89,2.69
Hebei,3,202404,2024,4,76.3649,29156.4,3652.38,0.747849,2.58,713.63,746.27,21.86,10.27
Hebei,3,202405,2024,5,78.67265,33553.7,3730.97,0.736688,1.98,808.41,855.04,27.01,14.81
Hebei,3,202406,2024,6,80.40618,38097.6,3794.24,0.73822,1.38,741.96,762.5,32.72,20.22
Hebei,3,202407,2024,7,73.84212,42528.3,3817.23,0.74881,0.78,805.31,840.39,31.36,22.5
Hebei,3,202408,2024,8,73.58003,47395.8,3849.64,0.755894,0.18,896.02,940.93,30.99,22.11
Hebei,3,202409,2024,9,70.51524,52471.6,3866.82,0.75621,0.42,682.16,707.78,25.65,16.43
Hebei,3,202410,2024,10,70.86044,27597.4,3884.01,0.750586,1.02,788.3,833.41,19.4,8.2
Hebei,3,202411,2024,11,71.57228,2723.2,3901.19,0.747029,1.62,645.3,653.31,13.19,3.07
Hebei,3,202412,2024,12,77.4474,4343.7,3918.38,0.744577,2.22,601.37,637.01,5.62,-5.05
Shanxi,4,201901,2019,1,41.39865,6014.2,1221.01,0.932324,2.64,314.33,324.19,1.93,-10.22
Shanxi,4,201902,2019,2,32.78223,7585.5,1184.87,0.917424,2.25,314.13,323.7,4.43,-7.22
Shanxi,4,201903,2019,3,34.76273,9342.8,1189.17,0.902524,1.86,284.7,293.19,13.6,-1.28
Shanxi,4,201904,2019,4,35.42663,10999.5,1455.44,0.901737,1.65,255.29,262.71,20.19,5.58
Shanxi,4,201905,2019,5,36.34896,12717.8,1495.4,0.900124,1.95,225.92,232.26,24.86,10.29
Shanxi,4,201906,2019,6,37.70229,14548.8,1525.2,0.903526,1.94,196.6,201.87,29.61,17.19
Shanxi,4,201907,2019,7,39.81506,16297.2,1487.75,0.907065,1.76,167.35,171.55,30.28,19.25
Shanxi,4,201908,2019,8,38.32968,18103.2,1517.95,0.910489,1.73,138.19,141.33,27.83,17.57
Shanxi,4,201909,2019,9,34.41758,20227.4,1559.06,0.909477,1.76,109.14,111.21,24.93,12.9
Shanxi,4,201910,2019,10,35.17503,11581.1,1618.87,0.908054,2.07,80.21,81.22,17.58,6.79
Shanxi,4,201911,2019,11,39.95279,2934.8,1606.11,0.906351,1.9,51.43,51.38,10.5,-0.59
Shanxi,4,201912,2019,12,44.76202,4850,1531.42,0.905034,1.97,22.8,21.71,4.5,-7.19
Shanxi,4,202001,2020,1,34.65919,6456.2,1244.46,0.91547,2.03,294.16,274.48,3.13,-8.33
Shanxi,4,202002,2020,2,34.19455,8254.6,1179.27,0.915587,1.95,352.52,334.13,8,-5.9
Shanxi,4,202003,2020,3,35.34191,10072.9,1188.82,0.895768,1.95,407.93,390.96,14.94,-0.69
Shanxi,4,202004,2020,4,36.2266,11760.6,1358.92,0.889162,2.03,455.68,440.33,18.85,3.33
Shanxi,4,202005,2020,5,35.94315,13485.6,1423.77,0.885283,1.08,491.05,477.59,26.13,11.38
Shanxi,4,202006,2020,6,37.69687,15523.2,1471.42,0.88842,0,509.33,498.1,28.8,16.15
Shanxi,4,202007,2020,7,39.79163,17076.7,1480.14,0.894088,1.21,505.8,497.23,27.45,18.32
Shanxi,4,202008,2020,8,39.49723,18880.2,1520.67,0.897399,1.8,475.73,470.32,27.19,17.93
Shanxi,4,202009,2020,9,40.55969,21031.3,1570.97,0.898502,1.9,414.43,412.74,22.98,11.72
Shanxi,4,202010,2020,10,42.2424,11765.95,1718.34,0.897647,2.16,317.17,319.85,15.31,4.3
Shanxi,4,202011,2020,11,46.71446,2500.6,1728.71,0.899289,2.08,211.99,218.25,8.78,-1.13
Shanxi,4,202012,2020,12,50.54407,4252.5,1689.09,0.8967,2.24,200.71,205.11,0.19,-9.87
Shanxi,4,202101,2021,1,45.78306,5959.5,1508.92,0.839239,2.17,168.41,165.57,3.13,-10.21
Shanxi,4,202102,2021,2,50.55994,7625.7,1469.66,0.838594,2.58,192.31,195.7,10.01,-4.52
Shanxi,4,202103,2021,3,34.77369,9429.4,1483.51,0.851045,2.02,248.87,253.19,13.18,1.46
Shanxi,4,202104,2021,4,43.25912,11192.1,1656.98,0.8497,2.15,284.57,285.93,16.5,5.46
Shanxi,4,202105,2021,5,39.86768,13177.1,1707.62,0.841653,1.9,341.83,341.76,24.65,10.22
Shanxi,4,202106,2021,6,38.35929,15115.5,1741.4,0.848,0,308.89,309.61,28.83,16.21
Shanxi,4,202107,2021,7,41.72031,17100.7,1796.15,0.855537,0.43,321.73,318.43,29.44,18.77
Shanxi,4,202108,2021,8,41.28783,19226.7,1832.26,0.862708,2.01,249.37,252.24,27.66,16.64
Shanxi,4,202109,2021,9,42.9339,21703.5,1886.72,0.865555,2.05,296.17,297.8,23.76,13.27
Shanxi,4,202110,2021,10,39.72337,3804.8,2157.75,0.866457,1.59,358.18,359.65,15.02,4.73
